11,1,88,01,01,0,//,//,/,//,/,/,/,01,/,/,/, ,  ,21,/////,               ,
10,1,88,01,18,0,15,20,2,01,8,5,1,01,1,0,1, ,  ,04,/////,e-f            ,
18,1,88,01,18,1,15,20,1,01,5,2,2,03,2,1,1,1,  ,08,/////,               ,
15,1,88,01,18,2,16,05,/,02,2,3,0,08,2,4,1, ,//,08,807//,               ,
27,1,88,01,18,0,16,15,0,01,1,3,8,08,1,3,1, ,//,08,805//,               ,
04,1,88,01,18,0,16,45,1,00,3,5,8,08,2,3,1,2,//,08,801//,               ,
04,1,88,01,19,2,08,05,0,01,8,3,0,01,1,1,1,1,//,08,/////,d              ,
30,1,88,01,19,0,08,05,1,07,5,1,0,08,0,4,2, ,  ,08,815//,               ,
04,1,88,01,19,2,08,15,0,06,8,3,0,08,2,3,2,1,//,08,815//,               ,UH
18,1,88,01,19,1,08,20,1,09,2,1,0,08,1,0,1,3,00,08,805//,               ,
29,1,88,01,19,2,08,20,1,04,3,6,0,08,1,0,2, ,  ,04,812//,               ,kE
25,1,88,01,19,0,08,53,1,//,3,3,0,08,1,0,2,3,//,08,810//,               ,kA kE
41,1,88,01,19,0,09,17,0,55,2,1,0,03,0,1,1,2,//,08,/////,               ,
25,1,88,01,19,0,10,40,1,02,2,3,0,03,1,1,1,3,//,08,/////,               ,
18,1,88,01,19,1,11,57,1,03,1,1,0,05,1,0,1,3,00,08,/////,               ,UH
29,1,88,01,19,2,12,15,0,10,7,5,0,01,1,1,1, ,  ,04,/////,b-c-d-e-f      ,kA
29,1,88,01,19,2,12,15,0,04,8,5,0,12,0,1,1, ,  ,04,/////,d              ,kA
16,1,88,01,19,0,12,30,/,01,0,0,0,01,0,0,/, ,//,08,/////,c-d            ,
29,1,88,01,19,2,12,40,0,05,6,5,0,05,1,1,1, ,  ,04,/////,               ,UH 13-13.20
10,1,88,01,19,0,12,50,0,06,2,1,0,01,2,1,1, ,  ,04,/////,               ,variabel
29,1,88,01,19,2,12,55,0,10,7,5,0,02,2,1,2, ,  ,04,/////,               ,
29,1,88,01,19,2,12,55,0,10,7,5,0,03,2,1,2, ,  ,04,/////,               ,UH 10', 8¯Schweif
06,1,88,01,19,0,13,15,1,08,6,3,5,01,1,4,1,4,//,04,/////,c-d-e          ,
33,1,88,01,19,2,13,20,1,//,3,1,0,03,1,0,2, ,  ,04,/////,               ,
10,1,88,01,19,0,13,30,0,02,2,1,0,02,2,1,2, ,  ,04,/////,               ,
10,1,88,01,19,0,13,30,0,02,2,1,0,03,1,0,1, ,  ,04,/////,               ,
